ID,City,Year,Month,AirTemperture,Precipitations,WindSpeed
1,Briceni,2002,1,-2.9,19,2.2
2,Briceni,2002,2,3.7,10,2.6
3,Briceni,2002,3,5.7,31,3.8
4,Briceni,2002,4,9.3,43,2.4
5,Briceni,2002,5,17.2,29,2.4
6,Briceni,2002,6,18.4,74,2.3
7,Briceni,2002,7,22.5,117,2.2
8,Briceni,2002,8,19.9,75,1.8
9,Briceni,2002,9,14.4,81,1.6
10,Briceni,2002,10,8.2,52,2.7
11,Briceni,2002,11,5.1,40,2
12,Briceni,2002,12,-7.6,8,2.7
13,Briceni,2003,1,-3.4,45,2.4
14,Briceni,2003,2,-6.6,29,2.4
15,Briceni,2003,3,0.2,13,2.5
16,Briceni,2003,4,7.7,7,3.3
17,Briceni,2003,5,19.8,9,2.6
18,Briceni,2003,6,19.4,43,2.2
19,Briceni,2003,7,20.3,330,2.1
20,Briceni,2003,8,20,26,1.6
21,Briceni,2003,9,14.4,20,2
22,Briceni,2003,10,7.1,49,2.4
23,Briceni,2003,11,4.5,23,2.5
24,Briceni,2003,12,-0.7,24,2.5
25,Briceni,2004,1,-5.4,40,2.4
26,Briceni,2004,2,-1.4,35,3.3
27,Briceni,2004,3,4.2,11,2.7
28,Briceni,2004,4,9.7,34,2.2
29,Briceni,2004,5,14.1,45,2.3
30,Briceni,2004,6,17.9,19,2.2
31,Briceni,2004,7,20.6,131,1.6
32,Briceni,2004,8,19.1,73,1.8
33,Briceni,2004,9,14.2,49,1.6
34,Briceni,2004,10,10.1,15,2.1
35,Briceni,2004,11,4.2,46,2.7
36,Briceni,2004,12,0.1,17,2
37,Briceni,2005,1,-0.9,52,2.3
38,Briceni,2005,2,-4.9,65,2.6
39,Briceni,2005,3,0.5,42,2.9
40,Briceni,2005,4,9.4,73,2.4
41,Briceni,2005,5,15.1,111,2.5
42,Briceni,2005,6,17.2,72,2
43,Briceni,2005,7,20.8,55,1.5
44,Briceni,2005,8,19.2,202,2
45,Briceni,2005,9,15.9,6,1.5
46,Briceni,2005,10,9.4,35,2
47,Briceni,2005,11,2.3,38,2
48,Briceni,2005,12,-0.1,49,2.4
49,Briceni,2006,1,-8.1,23,2.4
50,Briceni,2006,2,-4.8,20,2.3
51,Briceni,2006,3,0.4,86,2.4
52,Briceni,2006,4,10.2,52,2.6
53,Briceni,2006,5,14,98,2.2
54,Briceni,2006,6,17.7,119,1.9
55,Briceni,2006,7,20.6,42,2
56,Briceni,2006,8,19.3,169,1.8
57,Briceni,2006,9,15.5,26,2.3
58,Briceni,2006,10,10.1,21,1.8
59,Briceni,2006,11,4.9,22,2.4
60,Briceni,2006,12,1.5,5,2.1
61,Briceni,2007,1,2.5,29,2.8
62,Briceni,2007,2,-1.2,41,3
63,Briceni,2007,3,6.4,21,3.4
64,Briceni,2007,4,9.3,18,2.5
65,Briceni,2007,5,17.5,62,2.3
66,Briceni,2007,6,20.2,88,1.7
67,Briceni,2007,7,21.9,121,1.5
68,Briceni,2007,8,20.8,91,1.2
69,Briceni,2007,9,14.5,42,1.8
70,Briceni,2007,10,9.3,46,1.6
71,Briceni,2007,11,1.1,38,2.6
72,Briceni,2007,12,-1.7,21,2.3
73,Briceni,2008,1,-2.4,27,3.2
74,Briceni,2008,2,1.2,19,2.4
75,Briceni,2008,3,5,27,2.8
76,Briceni,2008,4,9.9,127,2.6
77,Briceni,2008,5,14.4,54,1.9
78,Briceni,2008,6,19,37,1.7
79,Briceni,2008,7,19.8,212,2.1
80,Briceni,2008,8,20.5,71,1.6
81,Briceni,2008,9,13.6,89,1.7
82,Briceni,2008,10,10.5,46,1.9
83,Briceni,2008,11,4,29,2.5
84,Briceni,2008,12,0.5,35,2.8
